Order ID,Date,Customer Name,Product Name,Category,Quantity,Price,Total Sales,Gender
100001,01-01-2024,Customer_13,T-Shirt,Fashion,5,1200,6000,Female
100002,01-01-2024,Customer_139,Microwave,Home Appliances,4,12000,48000,Male
100003,01-01-2024,Customer_228,Mobile,Electronics,2,15000,30000,Male
100004,01-01-2024,Customer_295,Shoes,Fashion,3,3000,9000,Male
100005,01-01-2024,Customer_29,Shoes,Fashion,1,3000,3000,Male
100006,01-01-2024,Customer_350,Shoes,Fashion,1,3000,3000,Female
100007,01-01-2024,Customer_256,Jeans,Fashion,3,2500,7500,Male
100008,01-01-2024,Customer_82,Microwave,Home Appliances,5,12000,60000,Female
100009,01-01-2024,Customer_321,Mobile,Electronics,1,15000,15000,Male
100010,01-01-2024,Customer_253,Jeans,Fashion,3,2500,7500,Female
100011,01-01-2024,Customer_18,Laptop,Electronics,3,55000,165000,Male
100012,01-01-2024,Customer_106,Jeans,Fashion,4,2500,10000,Female
100013,02-01-2024,Customer_254,Shoes,Fashion,5,3000,15000,Male
100014,02-01-2024,Customer_323,Mixer Grinder,Home Appliances,1,4500,4500,Male
100015,02-01-2024,Customer_181,T-Shirt,Fashion,2,1200,2400,Female
100016,02-01-2024,Customer_176,Book,Stationery,5,500,2500,Male
100017,02-01-2024,Customer_219,Mobile,Electronics,1,15000,15000,Male
100018,02-01-2024,Customer_197,Headphones,Electronics,4,2500,10000,Female
100019,02-01-2024,Customer_16,Shoes,Fashion,4,3000,12000,Female
100020,02-01-2024,Customer_65,Laptop,Electronics,3,55000,165000,Male
100021,02-01-2024,Customer_145,Mixer Grinder,Home Appliances,2,4500,9000,Male
100022,03-01-2024,Customer_271,Jeans,Fashion,5,2500,12500,Male
100023,03-01-2024,Customer_144,Laptop,Electronics,3,55000,165000,Male
100024,03-01-2024,Customer_251,Washing Machine,Home Appliances,4,22000,88000,Female
100025,03-01-2024,Customer_150,Book,Stationery,3,500,1500,Male
100026,03-01-2024,Customer_46,Book,Stationery,2,500,1000,Male
100027,03-01-2024,Customer_7,Book,Stationery,5,500,2500,Female
100028,03-01-2024,Customer_139,Book,Stationery,5,500,2500,Female
100029,03-01-2024,Customer_350,Headphones,Electronics,5,2500,12500,Female
100030,03-01-2024,Customer_202,Shoes,Fashion,3,3000,9000,Male
100031,03-01-2024,Customer_93,Headphones,Electronics,4,2500,10000,Female
100032,03-01-2024,Customer_93,Shoes,Fashion,1,3000,3000,Male
100033,03-01-2024,Customer_64,Shoes,Fashion,3,3000,9000,Female
100034,03-01-2024,Customer_96,T-Shirt,Fashion,2,1200,2400,Female
100035,03-01-2024,Customer_294,Jeans,Fashion,3,2500,7500,Female
100036,03-01-2024,Customer_207,Microwave,Home Appliances,2,12000,24000,Male
100037,03-01-2024,Customer_252,Book,Stationery,4,500,2000,Female
100038,03-01-2024,Customer_42,Headphones,Electronics,4,2500,10000,Male
100039,03-01-2024,Customer_259,Mixer Grinder,Home Appliances,3,4500,13500,Male
100040,03-01-2024,Customer_151,Book,Stationery,1,500,500,Male
100041,04-01-2024,Customer_204,Mixer Grinder,Home Appliances,4,4500,18000,Male
100042,04-01-2024,Customer_242,Washing Machine,Home Appliances,1,22000,22000,Female
100043,04-01-2024,Customer_285,Headphones,Electronics,1,2500,2500,Male
100044,04-01-2024,Customer_96,Mixer Grinder,Home Appliances,3,4500,13500,Female
100045,04-01-2024,Customer_203,Mobile,Electronics,4,15000,60000,Female
100046,04-01-2024,Customer_201,T-Shirt,Fashion,5,1200,6000,Female
100047,04-01-2024,Customer_347,Mobile,Electronics,4,15000,60000,Female
100048,05-01-2024,Customer_314,Jeans,Fashion,1,2500,2500,Male
100049,05-01-2024,Customer_273,Laptop,Electronics,3,55000,165000,Male
100050,05-01-2024,Customer_2,Shoes,Fashion,1,3000,3000,Male
100051,05-01-2024,Customer_41,Washing Machine,Home Appliances,3,22000,66000,Male
100052,05-01-2024,Customer_256,T-Shirt,Fashion,3,1200,3600,Female
100053,05-01-2024,Customer_88,Laptop,Electronics,1,55000,55000,Female
100054,05-01-2024,Customer_302,Laptop,Electronics,3,55000,165000,Male
100055,05-01-2024,Customer_308,Microwave,Home Appliances,5,12000,60000,Female
100056,05-01-2024,Customer_254,Mobile,Electronics,1,15000,15000,Male
100057,05-01-2024,Customer_139,Headphones,Electronics,4,2500,10000,Female
100058,05-01-2024,Customer_222,Laptop,Electronics,2,55000,110000,Female
100059,05-01-2024,Customer_86,Book,Stationery,3,500,1500,Male
100060,05-01-2024,Customer_142,Microwave,Home Appliances,4,12000,48000,Female
100061,05-01-2024,Customer_331,Laptop,Electronics,2,55000,110000,Female
100062,06-01-2024,Customer_29,Jeans,Fashion,4,2500,10000,Male
100063,06-01-2024,Customer_317,T-Shirt,Fashion,4,1200,4800,Male
100064,06-01-2024,Customer_12,Mobile,Electronics,5,15000,75000,Male
100065,06-01-2024,Customer_231,T-Shirt,Fashion,3,1200,3600,Female
100066,06-01-2024,Customer_201,Headphones,Electronics,3,2500,7500,Male
100067,06-01-2024,Customer_64,Headphones,Electronics,5,2500,12500,Female
100068,06-01-2024,Customer_151,T-Shirt,Fashion,4,1200,4800,Male
100069,06-01-2024,Customer_282,Shoes,Fashion,2,3000,6000,Female
100070,07-01-2024,Customer_114,Mobile,Electronics,5,15000,75000,Male
100071,07-01-2024,Customer_113,Headphones,Electronics,4,2500,10000,Female
100072,07-01-2024,Customer_213,Washing Machine,Home Appliances,5,22000,110000,Female
100073,07-01-2024,Customer_189,Mobile,Electronics,1,15000,15000,Male
100074,07-01-2024,Customer_305,Jeans,Fashion,5,2500,12500,Female
100075,07-01-2024,Customer_167,Mobile,Electronics,2,15000,30000,Female
100076,07-01-2024,Customer_131,Mobile,Electronics,5,15000,75000,Female
100077,07-01-2024,Customer_192,Jeans,Fashion,2,2500,5000,Female
100078,08-01-2024,Customer_279,Washing Machine,Home Appliances,5,22000,110000,Female
100079,08-01-2024,Customer_270,Shoes,Fashion,3,3000,9000,Female
100080,08-01-2024,Customer_307,Washing Machine,Home Appliances,4,22000,88000,Male
100081,08-01-2024,Customer_301,Laptop,Electronics,3,55000,165000,Male
100082,08-01-2024,Customer_42,Shoes,Fashion,4,3000,12000,Female
100083,08-01-2024,Customer_173,Headphones,Electronics,1,2500,2500,Female
100084,08-01-2024,Customer_106,Microwave,Home Appliances,4,12000,48000,Male
100085,08-01-2024,Customer_98,Mixer Grinder,Home Appliances,4,4500,18000,Female
100086,08-01-2024,Customer_193,T-Shirt,Fashion,5,1200,6000,Female
100087,08-01-2024,Customer_39,Laptop,Electronics,5,55000,275000,Female
100088,08-01-2024,Customer_76,Washing Machine,Home Appliances,4,22000,88000,Male
100089,08-01-2024,Customer_107,Book,Stationery,3,500,1500,Male
100090,08-01-2024,Customer_153,Shoes,Fashion,3,3000,9000,Female
100091,08-01-2024,Customer_274,T-Shirt,Fashion,1,1200,1200,Male
100092,08-01-2024,Customer_119,Washing Machine,Home Appliances,3,22000,66000,Male
100093,08-01-2024,Customer_102,Shoes,Fashion,5,3000,15000,Female
100094,09-01-2024,Customer_248,Washing Machine,Home Appliances,2,22000,44000,Male
100095,09-01-2024,Customer_84,Book,Stationery,1,500,500,Male
100096,09-01-2024,Customer_88,Mobile,Electronics,1,15000,15000,Female
100097,09-01-2024,Customer_8,Washing Machine,Home Appliances,1,22000,22000,Female
100098,09-01-2024,Customer_85,Jeans,Fashion,5,2500,12500,Female
100099,09-01-2024,Customer_234,Headphones,Electronics,4,2500,10000,Female
100100,09-01-2024,Customer_250,Jeans,Fashion,5,2500,12500,Female
100101,09-01-2024,Customer_332,Mixer Grinder,Home Appliances,1,4500,4500,Male
100102,09-01-2024,Customer_177,Microwave,Home Appliances,2,12000,24000,Female
100103,09-01-2024,Customer_321,Jeans,Fashion,4,2500,10000,Female
100104,09-01-2024,Customer_20,Book,Stationery,1,500,500,Female
100105,09-01-2024,Customer_35,Washing Machine,Home Appliances,1,22000,22000,Male
100106,09-01-2024,Customer_33,T-Shirt,Fashion,3,1200,3600,Female
100107,09-01-2024,Customer_189,Mixer Grinder,Home Appliances,4,4500,18000,Female
100108,10-01-2024,Customer_298,Washing Machine,Home Appliances,4,22000,88000,Female
100109,10-01-2024,Customer_215,Mobile,Electronics,3,15000,45000,Female
100110,10-01-2024,Customer_90,Shoes,Fashion,5,3000,15000,Female
100111,10-01-2024,Customer_272,Mobile,Electronics,2,15000,30000,Male
100112,10-01-2024,Customer_348,Washing Machine,Home Appliances,2,22000,44000,Male
100113,10-01-2024,Customer_4,Mixer Grinder,Home Appliances,3,4500,13500,Female
100114,10-01-2024,Customer_108,Washing Machine,Home Appliances,4,22000,88000,Female
100115,10-01-2024,Customer_256,Headphones,Electronics,1,2500,2500,Female
100116,10-01-2024,Customer_203,Book,Stationery,1,500,500,Female
100117,10-01-2024,Customer_176,Mixer Grinder,Home Appliances,3,4500,13500,Female
100118,10-01-2024,Customer_183,Headphones,Electronics,2,2500,5000,Female
100119,10-01-2024,Customer_276,Microwave,Home Appliances,4,12000,48000,Male
100120,11-01-2024,Customer_26,Laptop,Electronics,2,55000,110000,Male
100121,11-01-2024,Customer_270,Microwave,Home Appliances,3,12000,36000,Female
100122,11-01-2024,Customer_75,Jeans,Fashion,3,2500,7500,Female
100123,11-01-2024,Customer_237,Book,Stationery,1,500,500,Female
100124,11-01-2024,Customer_283,Mobile,Electronics,3,15000,45000,Male
100125,11-01-2024,Customer_305,Book,Stationery,1,500,500,Male
100126,11-01-2024,Customer_227,Mixer Grinder,Home Appliances,5,4500,22500,Male
100127,11-01-2024,Customer_207,Laptop,Electronics,1,55000,55000,Male
100128,11-01-2024,Customer_307,Jeans,Fashion,5,2500,12500,Male
100129,12-01-2024,Customer_246,Jeans,Fashion,1,2500,2500,Male
100130,12-01-2024,Customer_23,Microwave,Home Appliances,4,12000,48000,Male
100131,12-01-2024,Customer_235,Microwave,Home Appliances,4,12000,48000,Female
100132,12-01-2024,Customer_111,T-Shirt,Fashion,3,1200,3600,Female
100133,12-01-2024,Customer_55,Mixer Grinder,Home Appliances,5,4500,22500,Female
